answer,correct_answer,score
Peter Sarsguard,Peter Sarsgaard,0.988
Kelly McDonald,Kelly MacDonald,0.963
John Cusack,John Cusack,1
Kate Hudson,Kate Hudson,1
Steve Buscemi,Steve Buscemi,1
Laura Dean,Laura Dern,0.987
Scarlett’s Johansen,Scarlett Johansson,0.913
Jeremy Irons,Jeremy Irons,1
Ben Kingsly,Ben Kingsley,0.995
Francis Mcdormand,Frances McDormand,0.898
Kirstin Dunst,Kirsten Dunst,0.968
Bradley Cooper,Bradley Cooper,1
Daniel Radcliffe,Daniel Radcliffe,1
Paul Giamatti,Paul Giamatti,1
Tom WIlkenson,Tom Wilkinson,0.937
James Gandolfini,James Gandolfini,1
Billy Crystal,Billy Crystal,1
Kyle Mcglaughlan,Kyle MacLachlan,0.889
Patricia Arquette,Patricia Arquette,1
Jake Gyllanhaal,Jake Gyllenhaal,0.973
Alfred Molina,Alfred Molina,1
Viggo Mortenson,Viggo Mortensen,0.994
Christoph Wal,Christoph Waltz,0.994
Ralph Finnes,Ralph Fiennes,0.979
Rene Zelwegger,Renee Zellweger,0.875
Ryan Gosling,Ryan Gosling,1
Minnie Driver,Minnie Driver,1
Peter Sarsguard,Peter Sarsgaard,0.988
Mel Gibson,Mel Gibson,1
Jim Carrey,Jim Carrey,1
Joseph Gordon Levitt,Joseph Gordon-Levitt,0.988
Blythe Danner,Blythe Danner,1
Woddy Allen,Woody Allen,0.95
Elijah Wood,Elijah Wood,1
Tracy Ullman,Tracey Ullman,0.982
Michael Douglas,Michael Douglas,1
Brad Pitt,Brad Pitt,1
Halle Berrie,Halle Berry,0.986
Chris Rock ,Chris Rock,1
Alan Rickman ,Alan Rickman,1
Marisa Tomei ,Marisa Tomei,1
Guy peirce ,Guy Pearce,0.9
John Turturro,John Turturro,1
Peter Gallagher ,Peter Gallagher,1
Willem Dafoe ,Willem Dafoe,1
Owen Wilson ,Owen Wilson,1
Jeremy irons ,Jeremy Irons,1
Sean Penn ,Sean Penn,1
Andy Garcia ,Andy Garcia,1
Arnold Schwarzenegger ,Arnold Schwarzenegger,1
Keano reeves ,Keanu Reeves,0.908
Julianne Moore ,Julianne Moore,1
Russell Crowe ,Russell Crowe,1
Juliette binoche ,Juliette Binoche,1
Garry Oldman ,Gary Oldman,0.961
Kevin  Costner ,Kevin Costner,1
Michael Douglas ,Michael Douglas,1
Marisa Tomei ,Marisa Tomei,1
Kieffer Sutherland ,Kiefer Sutherland,0.972
Peirce Brosnan ,Pierce Brosnan,0.957
Jack black ,Jack Black,1
Uma Thurman ,Uma Thurman,1
Jonney depp,Johnny Depp,0.871
Gary sineese ,Gary Sinise,0.877
Jodie u,Jodie Foster,0.893
Billy crystal ,Billy Crystal,1
Willem Dafoe ,Willem Dafoe,1
Kristin Scott Thomas ,Kristin Scott Thomas,1
Bridgett fonda ,Bridget Fonda,0.951
Bradley Cooper ,Bradley Cooper,1
Jake Gyllenhaal ,Jake Gyllenhaal,1
Halle berrie ,Halle Berry,0.912
Benicio del torro ,Benicio Del Toro,0.936
Nicholas cage ,Nicholas Cage,1
Kevin Costner,Kevin Costner,1
Liev Schreiber,Liev Schreiber,1
Mike Myers,Mike Myers,1
Paul Damo,Paul Dano,0.978
Alan Alda,Alan Alda,1
Juliette Binoche,Juliette Binoche,1
Burt Reynolds,Burt Reynolds,1
Helen Hunt,Helen Hunt,1
Rickey Gervais,Ricky Gervais,0.946
Roger Moore,Roger Moore,1
Brooke Shields,Brooke Shields,1
Maggie Gyllenhaal,Maggie Gyllenhaal,1
Ryan Reynolds,Ryan Reynolds,1
Ellen Barkin,Ellen Barkin,1
Emily Blunt,Emily Blunt,1
John Malcovitch,John Malkovich,0.944
Amanda Peet,Amanda Peet,1
Alan Arkin,Alan Arkin,1
Michelle Phiffer,Michelle Pfeiffer,0.957
Michael Keaton,Michael Keaton,1
Jackie Chan,Jackie Chan,1
Richard Gere,Richard Gere,1
Antonio Banderas,Antonio Banderas,1
Sally Fields,Sally Fields,1
John Travolta,John Travolta,1
Jeff Bridges,Jeff Bridges,1
Leonardo De Caprio,Leonardo DiCaprio,0.956
Paul Dano ,Paul Dano,1
Rosanna Arquette ,Rosanna Arquette,1
Edward Norton ,Edward Norton,1
Gabriel Byrne ,Gabriel Byrne,1
Penelope cruise ,Penelope Cruz,0.932
James makevoy ,James McAvoy,0.884
Francis Macdonald,Frances McDormand,0.853
Meg Ryan ,Meg Ryan,1
Kate Winslet ,Kate Winslet,1
Zach Galifianakis ,Zach Galifianakis,1
Blair underwood ,Blair Underwood,1
Gwyneth Paltrow ,Gwyneth Paltrow,1
Morgen Freeman ,Morgan Freeman,0.912
Ed burns,Ed Burns,1
Alan Rickman ,Alan Rickman,1
Christoph waltz,Christoph Waltz,1
Danny glover ,Danny Glover,1
William hurt ,William Hurt,1
Sean Connery ,Sean Connery,1
Viggo Mortensen ,Viggo Mortensen,1
Rosanna Arquette ,Rosanna Arquette,1
Robert Duval ,Robert Duvall,0.996
Tobey McGuire ,Tobey Maguire,0.939
Naomi wstts,Naomi Watts,0.928
Donald Sutherland ,Donald Sutherland,1
Steve Martin ,Steve Martin,1
Lindsay Lohan ,Lindsay Lohan,1
Kevin Spacey,Kevin Spacey,1
Burt Reynolds ,Burt Reynolds,1
Glenn close,Glenn Close,1
Sandra bullock ,Sandra Bullock,1
Roy Schider ,Roy Scheider,0.964
David ducovney ,David Duchovny,0.931
Liv Tyler ,Liv Tyler,1
Robin Williams ,Robin Williams,1
Anthony Quinn ,Anthony Quinn,1
Kathleen Turner ,Kathleen Turner,1
Elizabeth Shue,Elisabeth Shue,0.963
Sam Worthington,Sam Worthington,1
Catherine Zeta Jones,Catherine Zeta-Jones,0.99
Paul Dano,Paul Dano,1
Holly Hunter,Holly Hunter,1
Jeff Daniels,Jeff Daniels,1
Albert Finney,Albert Finney,1
Daniel Radcliffe,Daniel Radcliffe,1
Rob Lowe,Rob Lowe,1
Javier Bardem,Javier Bardem,1
Kathlene Turner,Kathleen Turner,0.987
Dan Akyroyd,Dan Aykroyd,0.983
Hugh Grant,Hugh Grant,1
Adrien Brody,Adrien Brody,1
Peirce Brosnan,Pierce Brosnan,0.978
Lucy Liu,Lucy Liu,1
Ellen Page,Ellen Page,1
Bill Murray,Bill Murray,1
Will Farrel,Will Ferrell,0.94
Hugh Jackman,Hugh Jackman,1
Ben Afleck,Ben Affleck,0.986
Joe Pesci,Joe Pesci,1
Martin Sheen,Martin Sheen,1
Angelina Jolie,Angelina Jolie,1
Laura Linney,Laura Linney,1
Val Kilmer,Val Kilmer,1
Merryl Streep,Meryl Streep,0.916
Al Pacino ,Al Pacino,1
Jamie Lee Curtis ,Jamie Lee Curtis,1
Chris Cooper ,Chris Cooper,1
Goldie Hawn ,Goldie Hawn,1
Jane fonda ,Jane Fonda,1
Roy Schider ,Roy Scheider,0.964
Emma stone ,Emma Stone,1
Liam Neeson ,Liam Neeson,1
Candice Bergen ,Candice Bergen,1
Elijah wood ,Elijah Wood,1
Paul rudd,Paul Rudd,1
Jamie bell,Jamie Bell,1
Brad Pitt ,Brad Pitt,1
Daniel Radcliffe ,Daniel Radcliffe,1
Jim belushi ,Jim Belushi,1
Danny devito,Danny DeVito,1
Jim Carey ,Jim Carrey,0.98
David Hasselhoff ,David Hasselhoff,1
Woody allen,Woody Allen,1
 Bill Pullman ,Bill Pullman,1
Bill Cosby ,Bill Cosby,1
Patricia Arquette ,Patricia Arquette,1
Jeffrey  Wright ,Jeffrey Wright,1
Chris Rock ,Chris Rock,1
Jennifer Lopez ,Jennifer Lopez,1
David spade,David Spade,1
Sigourney weaver ,Sigourney Weaver,1
Michael Shannon ,Michael Shannon,1
Timothy Dalton ,Timothy Dalton,1
Jeremy Renner ,Jeremy Renner,1
Jack Nicholson ,Jack Nicholson,1
Beau bridges ,Beau Bridges,1
Jennifer Lawrence,Jennifer Lawrence,1
Edward Norton,Edward Norton,1
Mel Gibsen,Mel Gibson,0.987
Paul Newman,Paul Newman,1
Josh Brolin,Josh Brolin,1
Andrien Brodey,Adrien Brody,0.904
Tom Hanks,Tom Hanks,1
Jude Law,Jude Law,1
Dennis Hopper,Dennis Hopper,1
John C. Reilly,John C. Reilly,1
Greg Kineer,Greg Kinnear,0.971
Goldie Hawn,Goldie Hawn,1
Harrison Ford,Harrison Ford,1
Helen Mirren,Helen Mirren,1
Drew Barrymore,Drew Barrymore,1
Tobey Mcguire,Tobey Maguire,0.976
Greg Kinnear,Greg Kinnear,1
Peter Coyote,Peter Coyote,1
Jon Hamm,Jon Hamm,1
Danny GLover,Danny Glover,1
Bill Pullman,Bill Pullman,1
Bill Murray,Bill Murray,1
Colin Firth,Colin Firth,1
Harrison Ford,Harrison Ford,1
Donald Sutherland,Donald Sutherland,1
Nicole Kiddman,Nicole Kidman,0.993
Sam Worthington,Sam Worthington,1
George Clooney,George Clooney,1
Francis Mcdormand,Frances McDormand,0.898
Judy Dench,Judi Dench,0.953
Sean Connery,Sean Connery,1
Tom Hans,Tom Hanks,0.989
David Hasslehoff,David Hasselhoff,0.992
Bill Cosby,Bill Cosby,1
Dan Akyroyd,Dan Aykroyd,0.983
Benecio Del Toro,Benicio Del Toro,0.93
Tom Hardy,Tom Hardy,1
John Leguzamo,John Leguizamo,0.991
Jennifer Connely,Jennifer Connelly,0.998
Dennis Hopper,Dennis Hopper,1
Seth Rogen,Seth Rogen,1
Gabriel Burns,Gabriel Byrne,0.968
Jennifer Lawrence,Jennifer Lawrence,1
Kim Bassinger,Kim Basinger,0.988
Catherine Keener,Catherine Keener,1
Jodie Foster,Jodie Foster,1
Tim Blake Nelson,Tim Blake Nelson,1
Alfred Molina,Alfred Molina,1
Hope Davis ,Hope Davis,1
Robin Williams ,Robin Williams,1
Daryl Hannah ,Daryl Hannah,1
Tom Wilkinson ,Tom Wilkinson,1
Chris Cooper ,Chris Cooper,1
Ethan Hawke ,Ethan Hawke,1
Denzel Washington ,Denzel Washington,1
Mark Ruffalo ,Mark Ruffalo,1
Joe Pesci ,Joe Pesci,1
Phillip Seymour Hoffman ,Philip Seymour Hoffman,0.977
Danny devito,Danny DeVito,1
Jonah hill,Jonah Hill,1
Joseph Gordon Levitt ,Joseph Gordon-Levitt,0.982
Rob Schneider ,Rob Schneider,1
Goldie Hawn ,Goldie Hawn,1
Miranda Richardson ,Miranda Richardson,1
Christopher plummer ,Christopher Plummer,1
Jennifer Connely ,Jennifer Connelly,0.995
Barbara Hershey ,Barbara Hershey,1
Clive Owen ,Clive Owen,1
Orlando Bloom ,Orlando Bloom,1
Richard gere ,Richard Gere,1
Brendan Frazier ,Brendan Fraser,0.973
Jodie foster ,Jodie Foster,1
Clive Owen,Clive Owen,1
Katherin turner ,Kathleen Turner,0.867
Christopher Plummer ,Christopher Plummer,1
James Gandolfini ,James Gandolfini,1
Antonio Banderas ,Antonio Banderas,1
Mel Gibson ,Mel Gibson,1
Sam Worthington ,Sam Worthington,1
Elizabeth Perkins ,Elizabeth Perkins,1
Charlie Sheen,Charlie Sheen,1
Andie Macdowel,Andie MacDowell,0.973
Mickey Rourke,Mickey Rourke,1
Kevin Bacon,Kevin Bacon,1
Mira Sorvino,Mira Sorvino,1
Ed Burns,Ed Burns,1
Samuel Jackson,Samuel L. Jackson,0.965
Michelle Pfeiffer,Michelle Pfeiffer,1
Kurt Russel,Kurt Russell,0.998
Antonio Banderias,Antonio Banderas,0.997
Laura Dern,Laura Dern,1
Peter Sarsguard,Peter Sarsgaard,0.988
Russel Crowe,Russell Crowe,0.986
Adam Sandler,Adam Sandler,1
Marion Cottilard,Marion Cotillard,0.984
Michael J. Foxx,Michael J. Fox,0.999
Dennis Leary,Denis Leary,0.979
Blythe Danner,Blythe Danner,1
Lindsay Lohan,Lindsay Lohan,1
Sam Shepard,Sam Shepard,1
Jude Law,Jude Law,1
Jerry Lewis,Jerry Lewis,1
Forest Whitiker,Forest Whitaker,0.988
Alec baldwin,Alec Baldwin,1
James Mcavoy,James McAvoy,1
Jamie Lee Curtis,Jamie Lee Curtis,1
Sarah Jessica Parker,Sarah Jessica Parker,1
Ben Stiller,Ben Stiller,1
Jack Nicholsen,Jack Nicholson,0.993
Colin Farrell,Colin Farrell,1
Billy crystal ,Billy Crystal,1
Rachel macadams,Rachel McAdams,0.909
Alan Alda ,Alan Alda,1
Jon voight,Jon Voight,1
Bill Cosby ,Bill Cosby,1
Jennifer Jason Leigh ,Jennifer Jason Leigh,1
Steve Martin ,Steve Martin,1
Elijah wood ,Elijah Wood,1
Chris Rock,Chris Rock,1
Robert Downey Jr,Robert Downey Jr.,0.999
Harrison Ford ,Harrison Ford,1
Martin sheen ,Martin Sheen,1
Anette Benning ,Annette Bening,0.919
Tracy Ullman ,Tracey Ullman,0.964
Gene Hackman ,Gene Hackman,1
Peter cayote,Peter Coyote,0.928
Danny glover ,Danny Glover,1
Hugh Grant ,Hugh Grant,1
Amy Adams ,Amy Adams,1
Barbara Hershey,Barbara Hershey,1
Paul Rudd ,Paul Rudd,1
Glenn close,Glenn Close,1
Rene Russo,Rene Russo,1
Naomi Watts ,Naomi Watts,1
Sigourney weaver,Sigourney Weaver,1
Liv Tyler ,Liv Tyler,1
Paul rudd,Paul Rudd,1
Al Pacino ,Al Pacino,1
Josh Brolin ,Josh Brolin,1
Seth Rogan ,Seth Rogen,0.974
Larua Linney,Laura Linney,0.977
Philip Seymour Hoffman,Philip Seymour Hoffman,1
Robin Williams,Robin Williams,1
Toni Colette,Toni Collette,0.99
Reese Witherspoon,Reese Witherspoon,1
Kevin Costner,Kevin Costner,1
Daniel Radcliffe,Daniel Radcliffe,1
Martin Sheen,Martin Sheen,1
Jane Fonda,Jane Fonda,1
John Voight,Jon Voight,0.975
Clive Owen,Clive Owen,1
Jeremy Irons,Jeremy Irons,1
Don Cheadle,Don Cheadle,1
Meg Ryan,Meg Ryan,1
Oliver Platt,Oliver Platt,1
Paul Giamatti,Paul Giamatti,1
Gary Sinease,Gary Sinise,0.96
Brad Pitt,Brad Pitt,1
Richard Gere,Richard Gere,1
Brooke Shileds,Brooke Shields,0.993
Steve Buschemi,Steve Buscemi,0.993
Jill Clayburg,Jill Clayburgh,0.998
Kristin Scott Thomas,Kristin Scott Thomas,1
Nick Nolte,Nick Nolte,1
Rickeh Gervais,Ricky Gervais,0.928
Jesica Chastain,Jessica Chastain,0.911
Billy Crystal,Billy Crystal,1
Mike Myers,Mike Myers,1
Jake Gylenhaal,Jake Gyllenhaal,0.967
Ewan McGreggor,Ewan McGregor,0.995
Penelope Cruz,Penelope Cruz,1
Emily Blunt,Emily Blunt,1
Alan arkin,Alan Arkin,1
Andy Garcia ,Andy Garcia,1
Elliot Gould ,Elliott Gould,0.972
George Lopez ,George Lopez,1
Jeff bridges ,Jeff Bridges,1
Christopher Walken ,Christopher Walken,1
Judy Dench ,Judi Dench,0.932
Steven sigal,Steven Seagal,0.923
Paul Giamatti ,Paul Giamatti,1
Burt Reynolds,Burt Reynolds,1
Laura linney,Laura Linney,1
Guy peirce ,Guy Pearce,0.9
Patricia Arquette ,Patricia Arquette,1
Jack black ,Jack Black,1
Halle berrie ,Halle Berry,0.912
John c Reilly ,John C. Reilly,0.939
Macaulay calkin ,Macaulay Culkin,0.953
Anna Paquin ,Anna Paquin,1
Elizabeth Shue ,Elisabeth Shue,0.945
Mira sorvino ,Mira Sorvino,1
Emma watson,Emma Watson,1
George Clooney ,George Clooney,1
Eddie Murphy ,Eddie Murphy,1
Dennis hopper ,Dennis Hopper,1
Kevin James,Kevin James,1
Bill Murray ,Bill Murray,1
Cameron Diaz ,Cameron Diaz,1
Rob Lowe ,Rob Lowe,1
Peter gallagher,Peter Gallagher,1
Winona Ryder,Winona Ryder,1
Sean penn,Sean Penn,1
Kevin costner,Kevin Costner,1
Malcolm Mcdowel,Malcolm McDowell,0.976
John cusack,John Cusack,1
John Malkovich ,John Malkovich,1
Robert Downey jr. ,Robert Downey Jr.,1
Christian slater,Christian Slater,1
Jack black,Jack Black,1
Holly hunters ,Holly Hunter,0.943
William hurt ,William Hurt,1
Cathy bates,Kathy Bates,0.879
Dennis Miller ,Dennis Miller,1
Rosanna arquette,Rosanna Arquette,1
Robert ducal,Robert Duvall,0.939
Jennifer connely ,Jennifer Connelly,0.963
Ben afleck ,Ben Affleck,0.923
Benecio del toro,Benicio Del Toro,0.857
Jimmy smits,Jimmy Smits,1
Catherin keener ,Catherine Keener,0.935
Joaquin Phoenix ,Joaquin Phoenix,1
Geoffrey rush,Geoffrey Rush,1
Mackauly calkin ,Macaulay Culkin,0.892
Eva mendes ,Eva Mendes,1
Sean penn,Sean Penn,1
Jeremy renner,Jeremy Renner,1
Woody Allen ,Woody Allen,1
Mickey Rourke ,Mickey Rourke,1
Steven degas,Steven Seagal,0.923
Julia roberts ,Julia Roberts,1
Tulsa swinton,Tilda Swinton,0.858
Michelle phiffer ,Michelle Pfeiffer,0.922
Kevin spacey,Kevin Spacey,1
Peter o’toole,Peter O'toole,0.898
Billy crystal,Billy Crystal,1
Donald sutherland,Donald Sutherland,1
Cameron diaz,Cameron Diaz,1
Jeff goldblum ,Jeff Goldblum,1
Kiefer Sutherland ,Kiefer Sutherland,1
Ed Harris ,Ed Harris,1
Ryan gossling,Ryan Gosling,0.951
Elendig DeGeneres ,Ellen Degeneres,0.872
Jessica Chastain ,Jessica Chastain,1
Mary steinburgen ,Mary Steenburgen,0.879
Andie MacDowell ,Andie MacDowell,1
Laura dern ,Laura Dern,1
Ben stiller ,Ben Stiller,1
Bradley Cooper ,Bradley Cooper,1
Chevy chase,Chevy Chase,1
James woods ,James Woods,1
Leonardo de caprio ,Leonardo DiCaprio,0.898
Juliette binoche ,Juliette Binoche,1
Bill Murray ,Bill Murray,1
David Dukovney,David Duchovny,0.959
Kyle McGlaughlan,Kyle MacLachlan,0.889
Zack Galafanakis,Zach Galifianakis,0.898
Nick Nolte,Nick Nolte,1
Demi Moore,Demi Moore,1
Javier Bardem,Javier Bardem,1
Jennifer Jason Lee,Jennifer Jason Leigh,0.99
Rene Zelwegger,Renee Zellweger,0.875
Mary Steinbergen,Mary Steenburgen,0.968
Bill Cosbby,Bill Cosby,0.994
Minnie Driver,Minnie Driver,1
Collin Farrel,Colin Farrell,0.961
Daniel Craig,Daniel Craig,1
Charlise Theron,Charlize Theron,0.973
Merly Streep,Meryl Streep,0.979
Jeff Goldblum,Jeff Goldblum,1
Forest Witaker,Forest Whitaker,0.99
Liv Tyler,Liv Tyler,1
Jamie Bell,Jamie Bell,1
Helen MIrren,Helen Mirren,1
Danny Devito,Danny DeVito,1
Mickey Rhourke,Mickey Rourke,0.99
Ellen Degeneris,Ellen Degeneres,0.994
Orlando Bloom,Orlando Bloom,1
Alfred Molina,Alfred Molina,1
Keifer Sutherland,Kiefer Sutherland,0.982
Antonio Banderas,Antonio Banderas,1
David Schwimmer,David Schwimmer,1
Kristin Scott Thomas,Kristin Scott Thomas,1
Kim Bassinger,Kim Basinger,0.988
Amy Adams,Amy Adams,1
Sam Worthington,Sam Worthington,1
Drew Barrymore,Drew Barrymore,1
Edward Norton,Edward Norton,1
Philip Seymour Hoffman,Philip Seymour Hoffman,1
Jon Voight,Jon Voight,1
Jennifer Lawrence,Jennifer Lawrence,1
Paul Giamatti,Paul Giamatti,1
Michael Douglas,Michael Douglas,1
Elliot Gould,Elliott Gould,0.986
Cate Winslet,Kate Winslet,0.944
Julianne Moore,Julianne Moore,1
Alan Arkinb,Alan Arkin,0.997
Scarlet Johanson,Scarlett Johansson,0.977
Goldie Hawn,Goldie Hawn,1
Vanessa Redgrave,Vanessa Redgrave,1
Robert Duval,Robert Duvall,0.998
Jill Clayburg,Jill Clayburgh,0.998
Alec Baldwin,Alec Baldwin,1
Denzel Washington,Denzel Washington,1
Christian bale,Christian Slater,0.958
Eddie Murphy,Eddie Murphy,1
Sam Worthington,Sam Worthington,1
Rene Zellweger,Renee Zellweger,0.914
Stanley TUcci,Stanley Tucci,1
Michael J. Fox,Michael J. Fox,1
Vince Vaughn,Vince Vaughn,1
Helen hunt ,Helen Hunt,1
Bill Pullman ,Bill Pullman,1
Mira sorvino ,Mira Sorvino,1
Joan Cusack ,Joan Cusack,1
Roger Moore ,Roger Moore,1
Burt Reynolds ,Burt Reynolds,1
Steve Buscemi,Steve Buscemi,1
Rosanna Arquette,Rosanna Arquette,1
Reese Witherspoon,Reese Witherspoon,1
Tracy Ullman,Tracey Ullman,0.982
Francis Mcdormand,Frances McDormand,0.898
Anna Paquin,Anna Paquin,1
Julia Roberts,Julia Roberts,1
Drew Barrimore,Drew Barrymore,0.983
Glenn Close,Glenn Close,1
Bill Cosby,Bill Cosby,1
Paul Giamatti,Paul Giamatti,1
Peter Ghallagher,Peter Gallagher,0.963
Stanley Tucci,Stanley Tucci,1
Mira Sorvino,Mira Sorvino,1
Rob Schnider,Rob Schneider,0.979
Ian Holm,Ian Holm,1
Debra Winger,Debra Winger,1
Christian Bale,Christian Bale,1
Robin Williams,Robin Williams,1
David Ducovny,David Duchovny,0.991
Michael Fasbender,Michael Fassbender,0.993
Issabella Rosselini,Isabella Rossellini,0.969
Forest Wittaker,Forest Whitaker,0.979
Lucy Liu,Lucy Liu,1
Anthony Quinn,Anthony Quinn,1
Antonio Banderous,Antonio Banderas,0.989
Jeff Bridges,Jeff Bridges,1
Andie Mcdowel,Andie MacDowell,0.951
Kate Winslett,Kate Winslet,0.998
Alan Rickman,Alan Rickman,1
Ben Stiller,Ben Stiller,1
Jennifer Aniston,Jennifer Aniston,1
Chris Cooper,Chris Cooper,1
Frank Langella,Frank Langella,1
Lindsay lohan,Lindsay Lohan,1
Harrison Ford,Harrison Ford,1
Jeremy Renner,Jeremy Renner,1
Jeff Goldblum,Jeff Goldblum,1
James Macevoy,James McAvoy,0.964
Rene Russo,Rene Russo,1
Christopher Plummer,Christopher Plummer,1
Isabella Rosselini,Isabella Rossellini,0.996
Kevin Spacey,Kevin Spacey,1
Daniel Radcliffe,Daniel Radcliffe,1
Liam Neeson,Liam Neeson,1
Ellen Page ,Ellen Page,1
Antony Hopkins,Anthony Hopkins,0.982
Jeremy Irons,Jeremy Irons,1
TOmmy Lee Jones,Tommy Lee Jones,1
Debora Winger,Debra Winger,0.98
Ethan Hawks,Ethan Hawke,0.994
Jim Carrey,Jim Carrey,1
John C. Reilly,John C. Reilly,1
Angelina Jolie,Angelina Jolie,1
Roy Schnider,Roy Scheider,0.964
Jon VOight,Jon Voight,1
Tim Robbins,Tim Robbins,1
Meryl Streep,Meryl Streep,1
Timothy Dalton,Timothy Dalton,1
Kate HUdson,Kate Hudson,1
Mark Ruffalo,Mark Ruffalo,1
Dustin Hoffman,Dustin Hoffman,1
Michael Keaton,Michael Keaton,1
Bradley Cooper,Bradley Cooper,1
Naomi Watts,Naomi Watts,1
Clink Eastwood,Clint Eastwood,0.929
Natalie Portman,Natalie Portman,1
Drew Barrymore,Drew Barrymore,1
Sarah Jessica Parker,Sarah Jessica Parker,1
Malcolm McDowell,Malcolm McDowell,1
Ben Affleck,Ben Affleck,1
Jeff Daniels,Jeff Daniels,1
Sidney Poitier,Sidney Poitier,1
John Hawkes,John Hawkes,1
Hugh Grant,Hugh Grant,1
Gary Oldman,Gary Oldman,1
David Spade,David Spade,1
Bruce Willis,Bruce Willis,1
Rob Schnider,Rob Schneider,0.979
Brook Shields,Brooke Shields,0.952
Orlando Bloom,Orlando Bloom,1
Christian Bale,Christian Bale,1
Chevy Chase,Chevy Chase,1
Helen Miron,Helen Mirren,0.979
Steven Segal,Steven Seagal,0.984
Holly. Hunter,Holly Hunter,0.984
Jane Fonda,Jane Fonda,1
Kenneth Brannaugh,Kenneth Branagh,0.988
Paul Rudd,Paul Rudd,1
Jack Black,Jack Black,1
Rosie Perez,Rosie Perez,1
Sharon Stone,Sharon Stone,1
Donald Sutherland,Donald Sutherland,1
Will Smith,Will Smith,1
Dennis Leary,Denis Leary,0.979
Scarlett Johansson,Scarlett Johansson,1
Dennis HOpper,Dennis Hopper,1
John Cusack,John Cusack,1
Jonny Depp,Johnny Depp,0.975
Daniel Day-Lewis,Daniel Day-Lewis,1
Kirstin Dunst,Kirsten Dunst,0.968
Sidney Poitier ,Sidney Poitier,1
Steven Segal ,Steven Seagal,0.976
Will Smith ,Will Smith,1
Jamie Foxx ,Jamie Foxx,1
Jamie bell ,Jamie Bell,1
Gary senise ,Gary Sinise,0.873
Maggie Gyllenhaal ,Maggie Gyllenhaal,1
Keano reeves ,Keanu Reeves,0.908
Dennis Miller ,Dennis Miller,1
Richard gere ,Richard Gere,1
Antonio Banderas ,Antonio Banderas,1
Chris Cooper ,Chris Cooper,1
Jill clayberg ,Jill Clayburgh,0.908
Elizabeth Perkins ,Elizabeth Perkins,1
Minnie driver ,Minnie Driver,1
Sharon stone ,Sharon Stone,1
Forest Whittaker ,Forest Whitaker,0.986
Geoffrey rush ,Geoffrey Rush,1
NIcole Kidman,Nicole Kidman,1
Vanessa Redgrave,Vanessa Redgrave,1
Emma Thompson,Emma Thompson,1
Gabriel Byrne,Gabriel Byrne,1
Jennifer Lawrence,Jennifer Lawrence,1
Ryan Reynolds,Ryan Reynolds,1
James woods ,James Woods,1
Cate Blanchett ,Cate Blanchett,1
Angelina Jolie ,Angelina Jolie,1
Philip Seymour Hoffman ,Philip Seymour Hoffman,1
Dennis leary ,Denis Leary,0.918
Liam Neeson ,Liam Neeson,1
Peter Gallagher ,Peter Gallagher,1
Nathan lane ,Nathan Lane,1
David Schwimmer ,David Schwimmer,1
Sissy spaseck ,Sissy Spacek,0.926
Helen Mirren ,Helen Mirren,1
Juliette binoche ,Juliette Binoche,1
Sigourney weaver ,Sigourney Weaver,1
Jennifer Lawrence ,Jennifer Lawrence,1
Edward Norton ,Edward Norton,1
Samuel L Jackson ,Samuel L. Jackson,0.979
Orlando Bloom ,Orlando Bloom,1
Zack Galifianakis ,Zach Galifianakis,0.953
Adam Sandler ,Adam Sandler,1
Arnold Schwarzenegger ,Arnold Schwarzenegger,1
Vigo Mortensen ,Viggo Mortensen,0.964
Meg Ryan ,Meg Ryan,1
Bruce Willis ,Bruce Willis,1
Peirce Brosnan ,Pierce Brosnan,0.957
Kevin James,Kevin James,1
Eliott Gould,Elliott Gould,0.978
Sam WOrthington,Sam Worthington,1
Denzel Washington,Denzel Washington,1
Judy Dench,Judi Dench,0.953
Daniel Radcliffe,Daniel Radcliffe,1
Nicholas Cage,Nicholas Cage,1
Ben Affleck,Ben Affleck,1
Sissy Spacek,Sissy Spacek,1
Kevin Spacey,Kevin Spacey,1
George Lopez,George Lopez,1
Jude Law,Jude Law,1
Jennifer Jason Leigh,Jennifer Jason Leigh,1
Peirce Brosnan,Pierce Brosnan,0.978
Angelina Jolie,Angelina Jolie,1
Leonardo De Caprio,Leonardo DiCaprio,0.956
Kate Hudson,Kate Hudson,1
Kristin Scott Thomas,Kristin Scott Thomas,1
Jesica Chastain,Jessica Chastain,0.911
Julianne Moore,Julianne Moore,1
Allan Arkin,Alan Arkin,0.975
David Spade,David Spade,1
Jamie Bell,Jamie Bell,1
Willem Dafoe,Willem Dafoe,1
Tom Hanks,Tom Hanks,1
Jeffery Wright,Jeffrey Wright,0.983
Eddie Murphy\,Eddie Murphy,0.998
Tom Arnold,Tom Arnold,1
Jeremy Irons,Jeremy Irons,1
Arnold Schwartzenegger,Arnold Schwarzenegger,0.994
Ryan Reynolds,Ryan Reynolds,1
Donald Sutherland\,Donald Sutherland,0.999
Zach Galifinakis,Zach Galifianakis,0.986
Candice Bergan,Candice Bergen,0.993
jill clayburg,Jill Clayburgh,0.877
Sally Fields,Sally Fields,1
Billy Crystal,Billy Crystal,1
David Schwimmer,David Schwimmer,1
Tom Hardy,Tom Hardy,1
